Geneid	/home/jvtars/ipe/bam_files/SRR11144483.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144484.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144485.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144486.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144481.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144482.sorted.bam
CDL12_00418	26	20	12	6	6	7
CDL12_00419	0	0	0	0	0	0
CDL12_00420	0	0	0	0	0	0
CDL12_00421	0	0	55	0	0	1
CDL12_00423	0	6	4	0	1	3
CDL12_00424	3	124	147	0	0	0
CDL12_00425	387	321	506	1348	1198	199
CDL12_00426	0	0	618	0	0	77
CDL12_00427	505	377	1029	1245	1809	1117
CDL12_00428	1062	822	1035	1767	4338	1024
CDL12_00429	45	64	68	141	300	59
CDL12_00430	32	176	13	377	332	28
CDL12_00431	3	20	26	1	77	115
CDL12_00432	0	0	0	0	0	0
CDL12_00433	0	0	0	0	0	0
CDL12_00435	2	11	21	0	34	56
CDL12_00436	0	0	0	0	0	0
CDL12_00437	3	6	1	1	11	2
CDL12_00438	11	3	17	0	34	2
CDL12_00439	0	4	0	0	18	0
CDL12_00440	79	49	29	6	82	4
CDL12_00441	1472	1611	1449	10640	3398	1415
CDL12_00442	0	0	0	0	0	0
CDL12_00443	0	0	0	0	0	0
CDL12_00444	2	6	0	6	32	1
CDL12_00445	0	0	0	0	0	0
CDL12_00446	13	39	23	61	105	107
CDL12_00447	0	78	24	0	49	72
CDL12_00448	0	31	49	0	26	31
CDL12_00449	31	729	497	263	1002	1147
CDL12_00450	0	0	3	0	0	1
CDL12_00451	1	8	8	0	0	7
CDL12_00453	0	4	36	0	13	133
CDL12_00454	0	15	0	0	23	1
CDL12_00455	0	0	0	0	0	0
CDL12_00456	0	0	1	0	200	0
CDL12_00457	0	0	4	0	103	0
CDL12_00458	0	0	0	0	8590	0
CDL12_00459	2781	2999	5838	212	3825	577
CDL12_00460	466	339	422	57	1039	283
CDL12_00461	405	220	1228	220	100	183
CDL12_00462	777	766	1118	684	1989	697
CDL12_00463	1274	2012	2960	832	2621	1634
CDL12_00464	0	0	0	0	0	0
CDL12_00465	17498	21060	9102	17460	30167	12113
CDL12_00466	1003	357	2367	855	9694	1336
CDL12_00467	0	0	0	0	0	0
CDL12_00468	4396	3176	12083	113	878	78
CDL12_00469	362	245	423	154	691	273
CDL12_00470	2	8	0	2	15	6
CDL12_00471	0	0	0	0	0	4
CDL12_00472	264	401	655	68	71	64
CDL12_00473	118	89	162	36	111	26
CDL12_00474	183	148	226	237	365	377
CDL12_00475	83	291	46	33	299	301
CDL12_00476	0	0	0	0	0	0
CDL12_00477	4281	1874	2987	930	9880	3059
CDL12_00478	2501	296	149	208	167	325
CDL12_00479	0	4	20	0	2	4
CDL12_00480	367	340	454	416	683	496
CDL12_00481	667	711	378	1003	1867	959
CDL12_00482	1702	1660	2620	920	999	28
CDL12_00483	745	476	783	555	517	1312
CDL12_00484	9	33	0	0	0	0
CDL12_00485	480	404	513	457	733	735
CDL12_00486	436	280	512	648	1147	477
CDL12_00487	654	1146	680	1120	667	427
CDL12_00488	146	18	24	1	34	14
CDL12_00489	118	30	39	0	38	3
CDL12_00490	561	654	753	706	1194	738
CDL12_00491	957	965	1047	1163	1710	1256
CDL12_00492	225	244	469	261	587	292
CDL12_00493	22	16	4	6	0	20
CDL12_00494	2	0	0	0	0	0
CDL12_00495	53	21	22	54	280	54
CDL12_00496	45	164	16	215	243	1153
CDL12_00497	158	135	191	123	251	80
CDL12_00498	546	417	556	531	673	1125
CDL12_00499	96	184	117	129	436	207
CDL12_00500	0	0	0	0	0	4
CDL12_00501	6	0	19	0	0	0
CDL12_00502	1850	1921	3161	1859	4563	2940
CDL12_00503	6	0	2	0	2	3
CDL12_00504	11	0	8	2	0	21
CDL12_00505	76	10	44	32	12	50
CDL12_00506	4	11	0	7	9	45
CDL12_00507	359	495	215	701	148	44
CDL12_00508	849	339	666	892	1821	1253
CDL12_00509	7	9	0	6	0	0
CDL12_00510	82	251	74	39	9	3
CDL12_00511	1261	316	4177	439	3154	378
CDL12_00512	118	223	92	117	87	184
CDL12_00513	1065	1526	1119	537	783	1695
CDL12_00514	1732	1159	2722	3291	3596	1939
CDL12_00515	119	201	458	85	299	168
CDL12_00516	576	0	0	9	1	0
CDL12_00517	49	57	217	10	109	48
CDL12_00518	25	31	74	36	62	73
CDL12_00519	1932	7	7	4459	3	85
CDL12_00520	0	2	2	0	0	0
CDL12_00521	14	22	259	0	543	0
CDL12_00522	92	543	13439	0	6173	0
CDL12_00523	14	2	26	42	88	48
CDL12_00524	25	47	95	262	432	241
CDL12_00525	0	0	0	0	0	0
CDL12_00526	36	180	87	24	136	69
CDL12_00527	2312	12682	19796	33628	16109	3418
